Semester,Date,Day,Time,Room,Course
9,10/9/2025,WEDNESDAY,9-12,ΗΛ7,Anal. & Design of Elec. Machines-Finite Elem.
9,10/9/2025,WEDNESDAY,15-18,ΗΛ7,Quantum Computers
9,10/9/2025,WEDNESDAY,18-21,ΗΛ7,Adv. Control of Elec. Machines
9,In communication with the examiner,In communication with the examiner,In communication with the examiner,In communication with the examiner,Robotic Systems II
9,According to the schedule of the Computer Engineers,According to the schedule of the Computer Engineers,According to the schedule of the Computer Engineers,According to the schedule of the Computer Engineers,Modern Network Security Applications
9,According to the schedule of the Computer Engineers,According to the schedule of the Computer Engineers,According to the schedule of the Computer Engineers,According to the schedule of the Computer Engineers,Software & Programming in High Performance Sys.
9,According to the schedule of the Computer Engineers,According to the schedule of the Computer Engineers,According to the schedule of the Computer Engineers,According to the schedule of the Computer Engineers,Parallel Processing
2,27/8/2025,WEDNESDAY,9-11,ΚΥΠΕΣ Ι & ΙΙ,Procedural Programming Lab
2,11/9/2025,ΠΕΜΤΗ,9-12,Α.Φ.Ε.,Differential Equations & Complex Analysis
2,13/9/2025,SATURDAY,9-12,Α.Φ.Ε.,Multivar. Functions Calculus & Vector Anal.
2,15/9/2025,MONDAY,9-15,ΚΥΠΕΣ,Procedural Programming
2,17/9/2025,WEDNESDAY,9-13,Α.Φ.Ε.,Applied Physics Lab.
2,19/9/2025,FRIDAY,9-12,ΗΛ4-ΗΛ5,Introduction to ECE science
2,22/9/2025,MONDAY,9-12,Α.Φ.Ε.,Engineering Mechanics
2,24/9/2025,WEDNESDAY,9-12,Α.Φ.Ε.,Electrical Circuits I
4,11/9/2025,THURSDAY,9-12,ΚΥΠΕΣ,Engineering Drawing
4,13/9/2025,SATURDAY,12-15,Α.Φ.Ε.,Communications Networks
4,16/9/2025,TUESDAY,12-15,Α.Φ.Ε.,Microelectronic Circuits & Devices
4,18/9/2025,THURSDAY,9-12,ΚΥΠΕΣ,Power Circuits Analysis
4,22/9/2025,MONDAY,12-15,Α.Φ.Ε.,Electromagnetic Fields I
4,24/9/2025,WEDNESDAY,12-15,Α.Φ.Ε.,Signals & Systems
6,27/8/2025,MONDAY,15-18,ΚΥΠΕΣ Ι & ΙΙΙ,Automatic Control Systems Lab
6,11/9/2025,THURSDAY,9-12,ΚΥΠΕΣ,Engineering Drawing
6,12/9/2025,FRIDAY,15-18,Α.Φ.Ε.,Automatic Control Systems
6,15/9/2025,MONDAY,15-21,ΚΥΠΕΣ,Electrical Machines
6,17/9/2025,WEDNESDAY,15-18,Α.Φ.Ε.,Algorithms & Data Structures
6,19/9/2025,FRIDAY,15-18,Α.Φ.Ε.,Elec. Measuring Dev. & Measuring Techn
6,22/9/2025,MONDAY,15-18,Α.Φ.Ε.,Microcomputers / Embedded systems
6,24/9/2025,WEDNESDAY,15-18,Α.Φ.Ε.,Computer Organization
8,11/9/2025,THURSDAY,15-18,ΗΛ4,Network Architecture
8,11/9/2025,THURSDAY,18-21,ΗΛ4,Dynamics & Control of E-L Systems
8,12/9/2025,THURSDAY,15-18,ΗΛ4,Teletraffic Theory & Queuing Systems
8,12/9/2025,FRIDAY,18-21,ΗΛ4,Robust Control
8,13/9/2025,SATURDAY,15-18,ΗΛ4,Electric Motor Drive Systems II
8,13/9/2025,SATURDAY,18-21,ΗΛ4,3D Computer Vision and Geometry
8,15/9/2025,MONDAY,9-12,ΗΛ4,Electrical Power Systems Protection
8,15/9/2025,MONDAY,12-15,ΗΛ4,Nanoelectronics
8,15/9/2025,MONDAY,15-18,ΗΛ4,COMPUTATIONAL LINGUISTICS
8,16/9/2025,TUESDAY,9-12,ΗΛ3,Internet Programming
8,16/9/2025,TUESDAY,18-21,ΗΛ4,Renewable Energy Sources
8,17/9/2025,WEDNESDAY,15-18,ΗΛ4,Overvol. Protection – Lightning Surge Arresters
8,17/9/2025,WEDNESDAY,18-21,ΗΛ4,Antenna Theory
8,18/9/2025,THURSDAY,9-12,ΗΛ4,Digital Communications II
8,18/9/2025,THURSDAY,12-15,ΗΛ4,Communications Lab. I
8,18/9/2025,THURSDAY,15-18,ΗΛ4,Industrial Automation
8,19/9/2025,FRIDAY,15-18,ΗΛ4,High Voltages (Tests & Measurements)
8,19/9/2025,FRIDAY,18-21,ΗΛ4,Optical Communications
8,20/9/2025,SATURDAY,15-18,ΗΛ4,Digital Audio Technology
8,20/9/2025,SATURDAY,18-21,ΗΛ4,Integrated Circuits Design II
8,22/9/2025,MONDAY,9-12,ΗΛ4,Digital Control
8,22/9/2025,MONDAY,12-15,ΗΛ4,Linear & Combinatorial Optimization
8,22/9/2025,MONDAY,15-18,ΗΛ4,Wireless & Mobile Commun. Networks
8,23/9/2025,TUESDAY,12-15,ΗΛ4,Power Sys. Control & Stability
8,23/9/2025,TUESDAY,18-21,ΗΛ4,Control Tech. in Renewable Energy Sources
8,24/9/2025,WEDNESDAY,15-18,ΗΛ4,Adv. Anal./Dig. Integrated Circuits & Comp.
8,24/9/2025,WEDNESDAY,18-21,ΗΛ4,Power Electronics ΙI
8,In communication with the examiner,In communication with the examiner,In communication with the examiner,In communication with the examiner,Robotic Systems I
8,According to the schedule of the Mechanical Engineers,According to the schedule of the Mechanical Engineers,According to the schedule of the Mechanical Engineers,According to the schedule of the Mechanical Engineers,Biomechanics II
8,According to the schedule of the Mechanical Engineers,According to the schedule of the Mechanical Engineers,According to the schedule of the Mechanical Engineers,According to the schedule of the Mechanical Engineers,Satellite Technologies
8,According to the schedule of the Computer Engineers,According to the schedule of the Computer Engineers,According to the schedule of the Computer Engineers,According to the schedule of the Computer Engineers,Software Technology
8,According to the schedule of the Computer Engineers,According to the schedule of the Computer Engineers,According to the schedule of the Computer Engineers,According to the schedule of the Computer Engineers,Intelligent Control
8,According to the schedule of the Computer Engineers,According to the schedule of the Computer Engineers,According to the schedule of the Computer Engineers,According to the schedule of the Computer Engineers,Digital Processing & Image Analysis
8,According to the schedule of the Computer Engineers,According to the schedule of the Computer Engineers,According to the schedule of the Computer Engineers,According to the schedule of the Computer Engineers,Introduction to Bioinformatics
8,According to the schedule of the Computer Engineers,According to the schedule of the Computer Engineers,According to the schedule of the Computer Engineers,According to the schedule of the Computer Engineers,Data Mining & Learning Algorithms
